section,experiment_name,experiment_type,num_bands,geometry,metric,stage1_value,stage2_value,improvement_amount,interpretation,tectonic_band_number,band_type,stage,value,computed_from_map_long
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,4.0,slow band,Stage 2,66.75826,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,4.0,slow band,Stage 2,70.067535,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,4.0,slow band,Stage 2,0.78610086,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,4.0,slow band,Stage 2,0.27210134,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,4.0,slow band,Stage 2,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,5.0,fast band,Stage 1,65.801445,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,5.0,fast band,Stage 1,115.35887,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,5.0,fast band,Stage 1,116.66331,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,5.0,fast band,Stage 1,0.81919193,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,5.0,fast band,Stage 1,0.2207152,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,5.0,fast band,Stage 1,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,5.0,fast band,Stage 2,62.901943,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,5.0,fast band,Stage 2,125.16718,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,5.0,fast band,Stage 2,127.90452,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,5.0,fast band,Stage 2,0.82214534,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,5.0,fast band,Stage 2,0.21632996,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,5.0,fast band,Stage 2,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,6.0,slow band,Stage 1,58.771812,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,6.0,slow band,Stage 1,139.07074,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,6.0,slow band,Stage 1,139.46709,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,6.0,slow band,Stage 1,0.7987446,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,6.0,slow band,Stage 1,0.25196457,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,6.0,slow band,Stage 1,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,6.0,slow band,Stage 2,75.71305,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,6.0,slow band,Stage 2,82.66583,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,6.0,slow band,Stage 2,85.28459,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,6.0,slow band,Stage 2,0.845458,
