tectonic_band_number,band_type,FWI stage,Stage description,true_top_depth_inside_silicon_micrometers,true_bottom_depth_inside_silicon_micrometers_exclusive,true_center_depth_inside_silicon_micrometers,true_thickness_micrometers,true_velocity_contrast_percent,true_band_speed_m_per_s,true_velocity_update_relative_to_silicon_m_per_s,reconstructed_mean_band_speed_m_per_s,reconstructed_median_band_speed_m_per_s,reconstructed_std_band_speed_m_per_s,reconstructed_mean_velocity_update_m_per_s,speed_error_reconstructed_minus_true_m_per_s,absolute_speed_error_m_per_s,speed_error_percent,speed_error_interpretation,velocity_update_error_m_per_s,velocity_update_recovery_percent,velocity_update_recovery_interpretation,MAE_inside_band_m_per_s,RMSE_inside_band_m_per_s,Bias_inside_band_m_per_s,Correlation_inside_band,detected_center_row_index,detected_center_depth_inside_silicon_micrometers,position_error_cells,position_error_micrometers,absolute_position_error_micrometers,position_error_interpretation,band_reconstruction_energy_expected_sign_m_per_s,background_artifact_energy_expected_sign_m_per_s,detection_efficiency_0_to_1,false_positive_ratio,wrong_sign_energy_inside_band_m_per_s,wrong_sign_ratio_inside_band,experiment_name,experiment_type,num_bands,geometry
6,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,230.0,245.00000000000009,235.00000000000003,15.000000000000002,-4.0,8095.679999999999,-337.3200000000006,8234.752,8235.243,10.507039,-198.24908,139.07178,139.07178,1.7178516,Reconstruction is too fast compared with the true band speed.,139.07092,58.771812,Moderate recovery of the true band velocity contrast.,139.07074,139.46709,139.07074,,89.2362356212459,236.18117810622948,0.2362356212458962,1.1811781062294813,1.1811781062294813,Detected band center is deeper than the true band center.,198.24908,49.951744,0.7987446,0.25196457,0.0,0.0,6 ideal bands,resolution_limit,6,ideal_horizontal
6,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,230.0,245.00000000000009,235.00000000000003,15.000000000000002,-4.0,8095.679999999999,-337.3200000000006,8177.604,8181.1475,23.70296,-255.39526,81.92383,81.92383,1.011945,Reconstruction is too fast compared with the true band speed.,81.92474,75.71305,Moderate recovery of the true band velocity contrast.,82.66583,85.28459,81.92455,,88.72470857123002,233.62354285615012,-0.2752914287699752,-1.3764571438498765,1.3764571438498765,Detected band center is shallower than the true band center.,255.39526,46.68392,0.845458,0.18279086,0.0,0.0,6 ideal bands,resolution_limit,6,ideal_horizontal
1,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,25.0,35.00000000000001,27.5,10.0,2.0,8601.66,168.65999999999983,8542.807,8540.735,23.420681,109.80764,-58.853516,58.853516,-0.68421113,Reconstruction is too slow compared with the true band speed.,-58.852364,65.10591,Moderate recovery of the true band velocity contrast.,58.852516,63.34151,-58.852516,,47.16441131199453,25.822056559972637,-0.3355886880054726,-1.6779434400273632,1.6779434400273632,Detected band center is shallower than the true band center.,109.80764,50.598076,0.6845619,0.4607883,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
1,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,25.0,35.00000000000001,27.5,10.0,2.0,8601.66,168.65999999999983,8526.858,8525.615,18.271456,93.85813,-74.80176,74.80176,-0.86962,Reconstruction is too slow compared with the true band speed.,-74.80187,55.649315,Moderate recovery of the true band velocity contrast.,74.802025,77.00123,-74.802025,,47.64856341837106,28.242817091855308,0.1485634183710615,0.7428170918553079,0.7428170918553079,Detected band center is deeper than the true band center.,93.85813,55.760654,0.62731516,0.5940951,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
2,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,55.0,65.00000000000001,57.5,10.0,-2.0,8264.34,-168.65999999999983,8343.077,8340.168,12.37325,-89.922676,78.737305,78.737305,0.95273554,Reconstruction is too fast compared with the true band speed.,78.73733,53.315945,Moderate recovery of the true band velocity contrast.,78.73748,79.70376,78.73748,,53.08412635636431,55.42063178182155,-0.4158736436356918,-2.0793682181784594,2.0793682181784594,Detected band center is shallower than the true band center.,89.922676,52.078487,0.6332531,0.57914746,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
2,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,55.0,65.00000000000001,57.5,10.0,-2.0,8264.34,-168.65999999999983,8308.997,8310.535,13.515577,-124.00253,44.657227,44.657227,0.5403605,Reconstruction is too fast compared with the true band speed.,44.65747,73.522194,Moderate recovery of the true band velocity contrast.,45.233448,46.65805,44.65762,,53.721250180602496,58.60625090301249,0.221250180602496,1.10625090301248,1.10625090301248,Detected band center is deeper than the true band center.,124.00253,59.076515,0.6773169,0.4764138,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
3,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,85.0,95.0,87.50000000000001,10.0,3.0,8685.99,252.98999999999975,8578.841,8584.517,25.983746,145.84108,-107.149414,107.149414,-1.2335889,Reconstruction is too slow compared with the true band speed.,-107.148926,57.646973,Moderate recovery of the true band velocity contrast.,107.14916,110.25469,-107.14916,,59.28460268057928,86.42301340289639,-0.2153973194207239,-1.0769865971036197,1.0769865971036197,Detected band center is shallower than the true band center.,145.84108,49.156734,0.74791133,0.33705685,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
3,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,85.0,95.0,87.50000000000001,10.0,3.0,8685.99,252.98999999999975,8579.956,8575.52,16.882385,146.95532,-106.03418,106.03418,-1.2207495,Reconstruction is too slow compared with the true band speed.,-106.03468,58.087402,Moderate recovery of the true band velocity contrast.,106.03491,107.37047,-106.03491,,59.347058081928445,86.73529040964223,-0.152941918071555,-0.764709590357775,0.764709590357775,Detected band center is shallower than the true band center.,146.95532,53.63676,0.7326078,0.36498687,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
4,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,115.0,125.0,117.5,10.0,-3.0,8180.01,-252.98999999999975,8282.532,8283.746,19.983465,-150.46698,102.52246,102.52246,1.2533293,Reconstruction is too fast compared with the true band speed.,102.523026,59.475464,Moderate recovery of the true band velocity contrast.,102.52326,104.45266,102.52326,,65.03504527722586,115.17522638612932,-0.4649547227741379,-2.3247736138706903,2.3247736138706903,Detected band center is shallower than the true band center.,150.46698,49.65672,0.75186986,0.3300174,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
4,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,115.0,125.0,117.5,10.0,-3.0,8180.01,-252.98999999999975,8252.513,8256.918,24.290956,-180.48672,72.50293,72.50293,0.8863428,Reconstruction is too fast compared with the true band speed.,72.50328,71.341446,Moderate recovery of the true band velocity contrast.,74.134186,76.464424,72.5035,,65.61214822443988,118.0607411221994,0.1121482244398777,0.5607411221993885,0.5607411221993885,Detected band center is deeper than the true band center.,180.48672,56.81715,0.76057214,0.3147996,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
5,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,145.0,155.0,147.5,10.0,4.0,8770.32,337.3199999999997,8596.913,8604.639,26.727114,163.91261,-173.40723,173.40723,-1.9772052,Reconstruction is too slow compared with the true band speed.,-173.4074,48.592617,Weak recovery of the true band velocity contrast.,173.4077,175.4553,-173.4077,,71.07419676917183,145.3709838458592,-0.4258032308281656,-2.129016154140829,2.129016154140829,Detected band center is shallower than the true band center.,163.91261,48.433876,0.7719111,0.29548597,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
5,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,145.0,155.0,147.5,10.0,4.0,8770.32,337.3199999999997,8629.96,8626.025,16.201687,196.96031,-140.36035,140.36035,-1.6004016,Reconstruction is too slow compared with the true band speed.,-140.3597,58.38975,Moderate recovery of the true band velocity contrast.,140.35997,141.29196,-140.35997,,71.52002572924629,147.60012864623144,0.020025729246285,0.1001286462314254,0.1001286462314254,Detected band center is deeper than the true band center.,196.96031,51.636562,0.79228795,0.26216733,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
6,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,175.00000000000003,185.00000000000003,177.5,10.0,-4.0,8095.679999999999,-337.3200000000006,8242.538,8238.742,20.839918,-190.46217,146.85791,146.85791,1.814028,Reconstruction is too fast compared with the true band speed.,146.85783,56.46335,Moderate recovery of the true band velocity contrast.,146.85765,148.32893,146.85765,,77.25691756117509,176.28458780587545,-0.2430824388249135,-1.215412194124568,1.215412194124568,Detected band center is shallower than the true band center.,190.46217,48.056908,0.7985197,0.25231734,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
6,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,175.00000000000003,185.00000000000003,177.5,10.0,-4.0,8095.679999999999,-337.3200000000006,8195.22,8204.699,28.516129,-237.78009,99.53955,99.53955,1.229539,Reconstruction is too fast compared with the true band speed.,99.53992,70.49096,Moderate recovery of the true band velocity contrast.,100.27122,103.54384,99.53973,,77.52726907594038,177.6363453797019,0.0272690759403815,0.1363453797019076,0.1363453797019076,Detected band center is deeper than the true band center.,237.78009,54.525417,0.8134643,0.22931027,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
7,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,205.00000000000003,215.00000000000003,207.50000000000003,10.0,5.0,8854.65,421.6499999999997,8636.702,8647.256,35.903835,203.70116,-217.94824,217.94824,-2.4613986,Reconstruction is too slow compared with the true band speed.,-217.94884,48.310482,Weak recovery of the true band velocity contrast.,217.94923,220.88675,-217.94923,,83.21385113476877,206.06925567384388,-0.286148865231226,-1.4307443261561303,1.4307443261561303,Detected band center is shallower than the true band center.,203.70116,46.842335,0.8130371,0.22995615,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
7,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,205.00000000000003,215.00000000000003,207.50000000000003,10.0,5.0,8854.65,421.6499999999997,8699.119,8695.004,20.138054,266.1198,-155.53125,155.53125,-1.7564923,Reconstruction is too slow compared with the true band speed.,-155.53018,63.11391,Moderate recovery of the true band velocity contrast.,155.90428,156.8289,-155.5306,,83.52206151745996,207.6103075872998,0.0220615174599601,0.1103075872998005,0.1103075872998005,Detected band center is deeper than the true band center.,266.1198,48.870186,0.8448517,0.1836398,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
8,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,235.00000000000003,245.00000000000009,237.50000000000003,10.0,-5.0,8011.349999999999,-421.65000000000055,8241.353,8235.757,17.805822,-191.64752,230.00244,230.00244,2.8709574,Reconstruction is too fast compared with the true band speed.,230.00247,45.4518,Weak recovery of the true band velocity contrast.,230.00238,230.69057,230.00238,,90.16062005757114,240.8031002878557,0.660620057571137,3.303100287855685,3.303100287855685,Detected band center is deeper than the true band center.,191.64752,48.00949,0.79967415,0.25050932,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
8,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,235.00000000000003,245.00000000000009,237.50000000000003,10.0,-5.0,8011.349999999999,-421.65000000000055,8165.0386,8166.172,25.330307,-267.96185,153.68848,153.68848,1.9183842,Reconstruction is too fast compared with the true band speed.,153.68814,63.550777,Moderate recovery of the true band velocity contrast.,153.68805,155.76149,153.68805,,89.2143992390799,236.0719961953995,-0.2856007609201043,-1.4280038046005217,1.4280038046005217,Detected band center is shallower than the true band center.,267.96185,53.318146,0.83404464,0.19897662,0.0,0.0,8 ideal bands,resolution_limit,8,ideal_horizontal
1,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,25.0,35.00000000000001,27.5,10.0,2.0,8601.66,168.65999999999983,8402.245,8406.248,13.364009,-30.755116,-199.41504,199.41504,-2.318332,Reconstruction is too slow compared with the true band speed.,-199.41512,-18.234978,Weak recovery of the true band velocity contrast.,199.41528,199.86256,-199.41528,,54.08629451379996,60.43147256899982,6.586294513799963,32.931472568999816,32.931472568999816,Detected band center is deeper than the true band center.,0.0,16.34343,0.0,,30.755116,,10 ideal bands,resolution_limit,10,ideal_horizontal
