arrival_type,sensor_index,x_position_um,distance_from_source_um,arrival_time_us,arrival_time_ns,arrival_sample_index,expected_arrival_time_us,expected_arrival_time_ns,arrival_residual_us,arrival_residual_ns,arrival_residual_percent,arrival_advance_ns,arrival_advance_percent,search_start_time_us,search_start_time_ns,search_start_index,reference_speed_m_s,apparent_speed_m_s,speed_ratio_vs_reference,arrival_behavior,max_speed_increase_fraction,max_possible_speed_m_s,max_possible_advance_ns,advance_excess_ns,advance_is_physically_suspicious,threshold_fraction_of_sensor_peak,timing_tolerance_ns,sensor_peak_envelope,sensor_peak_normalized_to_global_max
direct_first_arrival,10,100.00000000000006,105.0,0.014466974174176528,14.466974174176528,122.0,0.012451085023123443,12.451085023123444,0.002015889151053085,2.0158891510530847,16.190469724600632,-2.0158891510530843,-16.19046972460063,0.009451085023123442,9.451085023123442,80.0,8433.0,7257.910239960505,0.8606557855994907,slower_than_expected,0.1,9276.300000000001,1.1319168202839514,-3.1478059713370357,False,0.4,1.0,0.48704051971435547,0.09918324649333954
direct_first_arrival,11,110.0,95.00000000000006,0.012925411352338045,12.925411352338045,109.0,0.011265267401873596,11.265267401873595,0.0016601439504644495,1.6601439504644495,14.736835720280734,-1.66014395046445,-14.73683572028074,0.008265267401873597,8.265267401873597,70.0,8433.0,7349.862794333098,0.8715596815288862,slower_than_expected,0.1,9276.300000000001,1.0241152183521454,-2.6842591688165953,False,0.4,1.0,0.5641734600067139,0.11489096283912659
direct_first_arrival,12,120.00000000000006,85.0,0.014466974174176528,14.466974174176528,122.0,0.010079449780623738,10.079449780623738,0.00438752439355279,4.3875243935527894,43.52940377744786,-4.3875243935527894,-43.52940377744786,0.007079449780623738,7.079449780623738,60.0,8433.0,5875.451146634695,0.6967213502472068,slower_than_expected,0.1,9276.300000000001,0.9163136164203411,-5.303838009973131,False,0.4,1.0,0.592449963092804,0.12064933031797409
direct_first_arrival,13,130.0,75.00000000000006,0.013043993107864083,13.043993107864083,110.0,0.008893632159373895,8.893632159373894,0.004150360948490188,4.150360948490188,46.66665850482364,-4.150360948490189,-46.66665850482365,0.0058936321593738945,5.893632159373895,50.0,8433.0,5749.773047241443,0.681818219760636,slower_than_expected,0.1,9276.300000000001,0.8085120144885369,-4.958872962978726,False,0.4,1.0,0.7200881838798523,0.14664217829704285
direct_first_arrival,14,140.00000000000006,65.0,0.01434839241865049,14.34839241865049,121.0,0.007707814538124035,7.707814538124035,0.0066405778805264555,6.640577880526456,86.15383579458403,-6.640577880526456,-86.15383579458403,0.004707814538124035,4.707814538124035,40.0,8433.0,4530.124219038709,0.5371901125386824,slower_than_expected,0.1,9276.300000000001,0.7007104125567309,-7.341288293083187,False,0.4,1.0,0.7632194757461548,0.15542563796043396
direct_first_arrival,15,150.0,55.00000000000006,0.01316257486339012,13.16257486339012,111.0,0.0065219969168741915,6.521996916874191,0.006640577946515928,6.640577946515928,101.81817058721595,-6.640577946515928,-101.81817058721595,0.0035219969168741915,3.5219969168741914,30.0,8433.0,4178.5137460433325,0.4954955230692912,slower_than_expected,0.1,9276.300000000001,0.5929088106249276,-7.233486757140856,False,0.4,1.0,0.9971972703933716,0.20307399332523346
direct_first_arrival,16,160.00000000000006,45.0,0.01434839241865049,14.34839241865049,121.0,0.005336179295624333,5.3361792956243335,0.009012213123026157,9.012213123026157,168.88887392551018,-9.012213123026157,-168.88887392551018,0.002336179295624333,2.336179295624333,20.0,8433.0,3136.2398439498756,0.3719008471421648,slower_than_expected,0.1,9276.300000000001,0.4851072086931216,-9.49732033171928,False,0.4,1.0,1.101776361465454,0.22437097132205963
direct_first_arrival,17,170.0,35.00000000000006,0.013281156618916157,13.281156618916157,112.0,0.0041503616743744885,4.150361674374489,0.009130794944541668,9.130794944541668,219.99998219234212,-9.130794944541668,-219.99998219234212,0.0011503616743744885,1.1503616743744884,10.0,8433.0,2635.312646652331,0.3125000173902918,slower_than_expected,0.1,9276.300000000001,0.3773056067613174,-9.508100551302984,False,0.4,1.0,1.6260579824447632,0.33113816380500793
direct_first_arrival,18,180.00000000000006,25.0,0.014585555929702565,14.585555929702565,123.0,0.002964544053124629,2.964544053124629,0.011621011876577936,11.621011876577935,391.9999726207269,-11.621011876577935,-391.9999726207269,0.0,0.0,0.0,8433.0,1714.0244856275292,0.20325204383108375,slower_than_expected,0.1,9276.300000000001,0.2695040048295123,-11.890515881407447,False,0.4,1.0,1.9238317012786865,0.39177823066711426
direct_first_arrival,19,190.0,15.000000000000057,0.013399738374442194,13.399738374442194,113.0,0.0017787264318747844,1.7787264318747844,0.01162101194256741,11.62101194256741,653.3332914111373,-11.62101194256741,-653.3332914111373,0.0,0.0,0.0,8433.0,1119.4248410558596,0.13274337021888527,slower_than_expected,0.1,9276.300000000001,0.16170240289770788,-11.782714345465118,False,0.4,1.0,3.403156280517578,0.6930349469184875
direct_first_arrival,20,205.00000000000006,0.0,0.013043993107864083,13.043993107864083,110.0,0.0,0.0,0.013043993107864083,13.043993107864083,,-13.043993107864083,,0.0,0.0,0.0,8433.0,,,slower_than_expected,0.1,9276.300000000001,0.0,-13.043993107864083,False,0.4,1.0,4.9105119705200195,1.0
direct_first_arrival,21,215.0,9.999999999999943,0.013399738374442194,13.399738374442194,113.0,0.001185817621249845,1.185817621249845,0.012213920753192348,12.21392075319235,1029.9999371167166,-12.21392075319235,-1029.9999371167166,0.0,0.0,0.0,8433.0,746.2832273705661,0.0884955801459227,slower_than_expected,0.1,9276.300000000001,0.10780160193180421,-12.321722355124153,False,0.4,1.0,3.617260694503784,0.7366361618041992
